trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.5, 'e': 0.3302946228035405}",25,0,-44.58201319033937,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.3265306122448977}",25,2,21.88865161364542,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.32283057851239644}",25,8,29.21136926560833,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.3191930798940276}",25,2,25.147802369536134,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.3156167150612294}",20,8,19.592489468229758,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.3121001217190472}",25,8,28.831375934514003,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.30864197530864174}",25,19,10.760709182593123,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.30524098775983616}",35,22,19.373099559667935,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.3018959062915105}",25,6,10.39835353309223,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.29860551225775606}",20,9,0.26526961340953825,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.29536862003780695}",25,7,3.291724826362613,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.2921840759678595}",25,1,26.428590250734377,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.28905075731298396}",20,8,-5.531497044638056,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.2859675712774169}",25,0,-21.1292683884438,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.28293345405160686}",20,12,12.91404683545462,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.2799473698944596}",20,0,6.585170579403406,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.2770083102493073}",20,6,-3.565685779018051,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.2741152928921902}",25,10,11.06091115285547,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.2712673611111109}",20,13,11.507261392300578,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.26846358291497735}",25,13,20.87079832023029,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.26570305027101687}",20,2,8.47024234291245,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.2629848783694935}",30,8,-18.5088346489655,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.2603082049146187}",20,0,21.32971057635887,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.25767218944059345}",25,8,3.0325380712539833,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.25507601265177}",30,23,13.449030837214387,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.25251887578596477}",30,18,-24.693053725201604,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.24999999999999978}",30,14,-29.11898649922556,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.24751862577658953}",20,0,-61.807355350850386,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.24507401235173012}",25,6,32.98588094218946,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.242665437161785}",30,14,-7.890065701897954,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.24029219530949636}",20,13,9.373827733755093,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.2379535990481856}",35,17,6.158104090350655,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.2356489772834387}",25,11,-1.5771357094767173,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.23337767509160087}",30,8,9.500633665037423,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.23113905325443804}",20,14,12.92528857094642,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.22893248780934525}",30,16,-12.8351106667405,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.22675736961451273}",25,6,-55.37053199158985,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.22461310392848352}",30,20,20.500521002177933,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.22249911000356035}",20,6,22.627568455668712,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.22041482069254376}",20,6,24.54696444241119,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.21835968206830333}",25,9,-33.36220144254799,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.21633315305570627}",30,11,21.94515678757617,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.21433470507544633}",20,0,-10.65207073365129,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.21236382169933582}",20,10,18.328629842648095,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.21041999831664057}",25,3,29.982364881159278,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.20850274181105544}",20,2,-44.25777728350603,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.20661157024793453}",30,8,-36.64457145060196,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.20474601257140584}",30,5,35.930004938215895,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.20290560831101442}",25,7,32.284058391254064,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.20108990729755344}",20,0,26.234777638793496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.19929846938775586}",20,0,18.08690541252809,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.19753086419753163}",25,5,-5.617414518619823,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.19578667084344978}",25,0,9.988586763792481,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
