trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.3248186292907973, 'e': 0.525596487525562}",20,0,-25.10898267753915,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.32157044299788934, 'e': 0.5203405226503064}",20,0,-65.17162668757977,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
67,False,"{'a': 0.3183547385679104, 'e': 0.5151371174238033}",30,14,-57.86662885807331,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.31517119118223136, 'e': 0.5099857462495653}",20,11,-15.638402669599966,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.312019479270409, 'e': 0.5048858887870696}",20,10,-30.016891698607154,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.3088992844777049, 'e': 0.4998370298991989}",20,7,-45.275379011495986,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 0}",1
71,False,"{'a': 0.3058102916329279, 'e': 0.49483865960020695}",20,13,13.784390739555613,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.30275218871659865, 'e': 0.4898902730042049}",20,6,-87.79681787037892,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 1}",1
73,False,"{'a': 0.2997246668294326, 'e': 0.48499137027416284}",35,25,6.047869535248295,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.2967274201611383, 'e': 0.4801414565714212}",25,15,-20.717553349768018,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.2937601459595269, 'e': 0.47534004200570695}",25,9,5.87592845312753,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.2908225444999316, 'e': 0.4705866415856499}",25,11,-67.95716445591364,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
77,False,"{'a': 0.2879143190549323, 'e': 0.46588077516979337}",20,8,18.917709125386278,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.285035175864383, 'e': 0.46122196741809546}",30,7,-76.16616032835199,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
