trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.36645326387612664, 'e': 0.5929664464014994}",30,15,-31.876448916511052,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.3627887312373654, 'e': 0.5870367819374844}",20,9,16.394955989867714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.3591608439249917, 'e': 0.5811664141181095}",30,12,-180.41040780827268,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 4}",1
56,False,"{'a': 0.3555692354857418, 'e': 0.5753547499769285}",20,0,-36.628290909302464,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
57,False,"{'a': 0.35201354313088434, 'e': 0.5696012024771592}",30,0,-129.76075630643518,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
58,False,"{'a': 0.3484934076995755, 'e': 0.5639051904523875}",20,2,-25.398848819190146,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.34500847362257975, 'e': 0.5582661385478637}",20,6,-17.576292083849086,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
60,False,"{'a': 0.341558388886354, 'e': 0.5526834771623851}",20,11,-32.82162420110162,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.33814280499749044, 'e': 0.5471566423907612}",20,0,-54.07374460017495,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.3347613769475155, 'e': 0.5416850759668536}",20,0,31.027847291368925,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.33141376317804033, 'e': 0.536268225207185}",20,4,-42.743979040180186,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
64,False,"{'a': 0.32809962554625993, 'e': 0.5309055429551132}",25,8,3.4649890416657896,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.3248186292907973, 'e': 0.525596487525562}",20,10,-6.690347328841961,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.32157044299788934, 'e': 0.5203405226503064}",20,0,-76.27222759012876,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
67,False,"{'a': 0.3183547385679104, 'e': 0.5151371174238033}",20,13,2.032726810686821,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.31517119118223136, 'e': 0.5099857462495653}",20,7,-2.3315925485411375,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.312019479270409, 'e': 0.5048858887870696}",25,3,6.168265844718413,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.3088992844777049, 'e': 0.4998370298991989}",20,7,-18.253086363852365,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.3058102916329279, 'e': 0.49483865960020695}",20,11,-24.176574100934598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.30275218871659865, 'e': 0.4898902730042049}",25,0,-80.03200177776291,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
73,False,"{'a': 0.2997246668294326, 'e': 0.48499137027416284}",20,0,-23.33426565291191,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.2967274201611383, 'e': 0.4801414565714212}",25,19,10.895717436266748,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.2937601459595269, 'e': 0.47534004200570695}",25,15,-2.8083824056380866,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.2908225444999316, 'e': 0.4705866415856499}",20,5,-71.35302633044854,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
77,False,"{'a': 0.2879143190549323, 'e': 0.46588077516979337}",25,16,-6.395206887953581,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.285035175864383, 'e': 0.46122196741809546}",20,5,-30.10983279025312,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.28218482410573914, 'e': 0.4566097477439145}",20,13,1.3827817649083824,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.2793629758646818, 'e': 0.45204365026647536}",30,14,-17.685329587176692,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.27656934610603495, 'e': 0.4475232137638106}",20,0,-53.8337259794649,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.2738036526449746, 'e': 0.4430479816261725}",20,0,-33.25417772270787,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
83,False,"{'a': 0.27106561611852487, 'e': 0.43861750180991077}",25,13,-4.548948761682637,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
84,False,"{'a': 0.2683549599573396, 'e': 0.43423132679181164}",20,8,-29.030407826176006,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.2656714103577662, 'e': 0.4298890135238935}",20,10,7.6021855048036375,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.26301469625418855, 'e': 0.4255901233886546}",25,18,9.071336906072071,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.2603845492916466, 'e': 0.421334222154768}",20,16,7.225401175428157,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.25778070379873014, 'e': 0.41712087993322033}",30,12,16.847352998627517,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.25520289676074287, 'e': 0.41294967113388814}",25,8,4.113959189439123,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.25265086779313545, 'e': 0.40882017442254925}",30,7,-18.066283397057827,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 0}",1
91,False,"{'a': 0.2501243591152041, 'e': 0.4047319726783238}",20,15,-1.6143269386657653,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.24762311552405206, 'e': 0.40068465295154054}",25,5,10.580583209906298,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.24514688436881152, 'e': 0.3966778064220251}",20,12,-89.2236788951678,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 2}",1
94,False,"{'a': 0.2426954155251234, 'e': 0.39271102835780486}",20,16,8.92836002955568,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.24026846136987215, 'e': 0.3887839180742268}",30,8,31.140253909057947,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.23786577675617343, 'e': 0.38489607889348454}",25,1,11.623683080361317,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.2354871189886117, 'e': 0.38104711810454966}",30,16,-49.5629764924542,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
98,False,"{'a': 0.23313224779872557, 'e': 0.37723664692350417}",30,12,31.862454042732704,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.23080092532073834, 'e': 0.37346428045426916}",25,17,-7.4851832238199,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.22849291606753094, 'e': 0.36972963764972644}",20,12,12.69011000526724,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
