trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.5, 'e': 0.24507401235173012}",20,0,4.437835365986444,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.242665437161785}",20,5,19.711069596126492,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.24029219530949636}",35,19,29.485110685275256,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.2379535990481856}",25,8,28.308726317026775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.2356489772834387}",25,9,13.002303066226165,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.23337767509160087}",20,9,6.510498152622132,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.23113905325443804}",20,12,15.598408886758472,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.22893248780934525}",20,3,-14.39008978577259,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.22675736961451273}",30,4,33.956335816136914,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.22461310392848352}",30,11,1.0932171491911569,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.22249911000356035}",20,3,27.89786464204255,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.22041482069254376}",20,6,-18.063662618109944,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.21835968206830333}",25,7,-39.55181084850853,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.21633315305570627}",30,18,16.45930858030652,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.21433470507544633}",25,18,9.59910315978194,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.21236382169933582}",25,0,-8.688840774728009,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.21041999831664057}",20,14,5.105777729648821,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.20850274181105544}",25,17,16.850047321602283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.20661157024793453}",20,4,19.80553928749709,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.20474601257140584}",20,11,-4.837270214191946,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.20290560831101442}",30,12,21.692103343985224,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.20108990729755344}",35,0,-4.603203804617671,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.19929846938775586}",30,18,11.952841013140683,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.19753086419753163}",25,11,4.075349109686713,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.19578667084344978}",30,17,25.90589649665636,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.1940654776921742}",25,9,27.456642172638464,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.19236688211757547}",20,15,7.9433152869429655,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.19069049026525137}",25,11,27.83974224075534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.18903591682419751}",20,11,-7.166981148188341,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.18740278480538314}",30,16,3.1407395279788455,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.18579072532699265}",25,9,27.858636071167332,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.18419937740610534}",25,12,13.28632983779902,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.1826283877565939}",25,0,29.82696452315028,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.18107741059302954}",30,17,24.21090274502558,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.1795461074403917}",20,3,13.740282280452853,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.17803414694938596}",20,16,6.906521790776092,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.17654120471718204}",25,13,18.326225782938327,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.17506696311339195}",20,13,11.60932070748645,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.17361111111111222}",20,8,20.71917834144068,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.172173344122864}",30,13,23.521597265005095,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.17075336384126882}",20,0,-26.6918861532905,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.16935087808430402}",30,11,-21.3028331767471,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.16796560064498905}",20,9,9.59938719068628,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
